Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,26,26.000,18186,89389,180354,174131,239732,315695,325867,344211,344211
1,18,18.000,36940,169628,189755,196748,260688,302292,311879,311879,311879
2,30,30.000,6163,94784,153453,148906,206029,251855,356060,385538,385538
3,23,23.000,7426,104022,187118,192063,300908,334439,340722,388490,388490
4,15,15.000,148631,174787,202295,216340,223951,305786,387459,387459,387459
5,18,18.000,38990,165423,238612,232752,333217,371896,384087,384087,384087
6,21,21.000,85306,125554,173950,179889,212003,255093,264368,366099,366099
7,21,21.000,8733,113245,183010,191551,280103,313042,315018,336364,336364
8,23,23.000,8294,79199,186060,175124,254743,323729,325812,346492,346492
9,22,22.000,45514,156780,177924,364773,228881,344715,357830,4196961,4196961
10,3,3.000,4158357,4158357,4176228,4173875,4187042,4187042,4187042,4187042,4187042
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,4,4.000,3005833,3007427,3007470,3007069,3007548,3007548,3007548,3007548,3007548
15,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,4,4.000,3004791,3005250,3005448,3005280,3005631,3005631,3005631,3005631,3005631
18,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,4,4.000,3004440,3004617,3004929,3004792,3005184,3005184,3005184,3005184,3005184
21,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,4,4.000,1444486,1444644,1445182,1445355,1447111,1447111,1447111,1447111,1447111
24,6,6.000,181152,208216,288525,297588,408691,412551,412551,412551,412551
25,15,15.000,19628,234945,266050,275357,359389,400882,439481,439481,439481
26,16,16.000,98306,174748,245167,241549,349348,373406,404690,404690,404690
27,18,18.000,127823,157574,246045,239638,266976,357622,492336,492336,492336
28,16,16.000,13418,188407,273362,252552,346095,418468,483857,483857,483857
29,11,11.000,18438,160752,355006,338015,497422,631850,637059,637059,637059
30,16,16.000,153535,211553,263058,257484,323965,357287,403230,403230,403230
31,20,20.000,12374,146907,201906,229433,351075,390322,526251,526251,526251
32,15,15.000,5057,157014,213704,235166,349669,364277,542040,542040,542040
33,17,17.000,96410,166020,233988,222479,241204,296991,388006,388006,388006
34,23,23.000,6889,68721,148339,167458,265497,333764,358384,378465,378465
35,18,18.000,105338,165721,248016,253614,313864,444146,481758,481758,481758
36,16,16.000,8471,157464,200294,218755,355334,371629,413894,413894,413894
37,13,13.000,209936,277410,307864,345516,398947,497537,519109,519109,519109
38,16,16.000,4641,192813,238549,232333,347129,372839,419284,419284,419284
39,22,22.000,7530,48362,121933,180019,272359,479217,486032,496497,496497
40,16,16.000,95174,200346,212579,228014,246546,387705,394718,394718,394718
41,21,21.000,33682,88708,216783,195756,271121,316617,384339,390429,390429
42,19,19.000,49072,130938,234516,212609,295857,319545,358040,358040,358040
43,19,19.000,13018,156750,191535,222502,289877,362584,451952,451952,451952
44,19,19.000,13671,90081,184116,186867,260372,393857,410120,410120,410120
45,18,18.000,7715,179744,235838,222491,309125,338092,397343,397343,397343
46,22,22.000,10064,184368,194087,204974,240672,285330,290178,339889,339889
47,14,14.000,115638,214649,227475,265569,295532,488649,590701,590701,590701
48,15,15.000,124949,166510,201148,262239,362729,456736,478643,478643,478643
49,21,21.000,12752,151801,197754,195462,230385,323207,327563,368071,368071
50,21,21.000,12504,120163,161613,176969,239669,280291,283654,325908,325908
51,23,23.000,10961,125464,192721,195816,242422,371559,373425,395562,395562
52,15,15.000,152284,225934,260544,271733,304643,374368,405229,405229,405229
53,22,22.000,35865,113556,172510,172357,225604,269955,310520,402422,402422
54,22,22.000,39853,148451,197058,188863,260341,271972,302923,355507,355507
55,19,19.000,5991,121759,178173,190468,247540,352562,360781,360781,360781
56,18,18.000,15518,166982,245895,229519,296463,335969,349138,349138,349138
57,14,14.000,108338,167920,254465,262996,352772,394122,431320,431320,431320
58,23,23.000,13754,97207,201271,208327,271196,349734,517411,527902,527902
59,15,15.000,36768,110544,144749,163081,234050,251559,290745,290745,290745
