Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,24,24.000,66186,158825,197068,188812,225872,267015,292235,331663,331663
1,11,11.000,143834,249493,309308,327670,391049,464885,531929,531929,531929
2,21,21.000,39175,179570,238983,232456,288985,329000,384655,440683,440683
3,20,20.000,50515,131122,182008,180827,231755,324648,328860,328860,328860
4,19,19.000,12382,66008,219145,209638,299236,399203,420413,420413,420413
5,22,22.000,36405,97675,173202,176801,268353,277650,336945,382310,382310
6,15,15.000,106833,175043,279011,291406,335330,512963,618504,618504,618504
7,16,16.000,20894,162434,194677,217112,321340,324916,460763,460763,460763
8,22,22.000,10693,139482,201729,204029,266565,335326,339796,462141,462141
9,20,20.000,25045,125907,185649,197571,272261,363335,444350,444350,444350
10,7,7.000,88915,141703,4001458,2390145,4113714,4145559,4145559,4145559,4145559
11,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,4,4.000,3006109,3006383,3006751,3006518,3006832,3006832,3006832,3006832,3006832
15,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,4,4.000,3006215,3006232,3006263,3006249,3006287,3006287,3006287,3006287,3006287
18,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,0,0.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,4,4.000,3106632,3106840,3107120,3107002,3107418,3107418,3107418,3107418,3107418
21,5,5.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,7,7.000,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,10,10.000,549204,647508,790238,775365,1114511,1114511,1114511,1114511,1114511
24,15,15.000,17347,144359,181160,284612,405739,456476,1032737,1032737,1032737
25,10,10.000,52489,318309,478943,423971,486333,686035,686035,686035,686035
26,16,16.000,63508,81315,205734,211967,290046,461902,474356,474356,474356
27,15,15.000,98835,190934,256378,259038,296080,377302,503014,503014,503014
28,7,7.000,54087,231107,679899,518324,787392,864823,864823,864823,864823
29,20,20.000,58386,171066,197687,206464,270711,327247,328342,328342,328342
30,18,18.000,12909,141688,220537,220145,248340,407488,517366,517366,517366
31,17,17.000,48795,145888,189137,213212,279660,389305,399093,399093,399093
32,17,17.000,90946,173008,279416,255776,291447,323694,583410,583410,583410
33,11,11.000,163580,251624,307223,341271,452701,536580,560812,560812,560812
34,18,18.000,35372,148254,213956,230269,308880,397251,591105,591105,591105
35,13,13.000,48766,260001,393107,319516,402455,462901,518740,518740,518740
36,18,18.000,13697,77038,172905,202526,347411,427283,565226,565226,565226
37,15,15.000,30886,153805,304442,267156,322253,453584,478325,478325,478325
38,18,18.000,15074,194937,263950,262779,336906,391538,460038,460038,460038
39,14,14.000,156516,224654,310324,292066,339092,377791,418718,418718,418718
40,12,12.000,164470,248798,302428,283503,325079,328829,392570,392570,392570
41,16,16.000,21562,215344,272073,264168,343554,467966,482541,482541,482541
42,14,14.000,113128,220123,273752,289460,336207,508937,520719,520719,520719
43,17,17.000,78423,196570,218197,231914,248137,397472,460609,460609,460609
44,13,13.000,130225,180922,292218,307945,378112,533480,566104,566104,566104
45,19,19.000,20970,133279,237166,228662,323447,361788,420859,420859,420859
46,9,9.000,27802,62263,232881,334359,592807,639292,639292,639292,639292
47,16,16.000,45097,183327,299178,270447,329933,365389,688233,688233,688233
48,18,18.000,14021,125921,253414,246073,386007,444987,556496,556496,556496
49,17,17.000,61276,175669,194639,230887,304621,411165,450523,450523,450523
50,15,15.000,147806,201469,264672,264739,313482,384320,418920,418920,418920
51,16,16.000,101898,136565,239406,223273,265061,456883,474475,474475,474475
52,14,14.000,105019,237559,331317,323662,394416,479870,528646,528646,528646
53,14,14.000,25038,129468,264718,233759,298389,393211,436548,436548,436548
54,20,20.000,4230,83744,226108,246734,376214,546819,847237,847237,847237
55,20,20.000,54563,63640,187857,159915,219568,277332,335731,335731,335731
56,20,20.000,100780,178521,217511,214885,267858,319375,354952,354952,354952
57,16,16.000,64868,147494,231991,222347,358486,419596,419976,419976,419976
58,17,17.000,164467,206041,222428,247132,270371,380670,396567,396567,396567
59,14,14.000,16474,215494,249092,239609,295963,365768,366400,366400,366400
